Name,Observable Traits,Birth,Death,Place,Classification,Verdict,Disposition,Confidence %,Reflection %,File ID,Stamp Motto
ANDY WARHOL,Displays advanced understanding of image production | Demonstrates sustained interest in celebrity ecosystems | Maintains controlled emotional presentation | Repeatedly converts personal experience into cultural artefact | Identity appears partially self-constructed | Exhibits fascination with visibility | Human authenticity cannot be independently verified,1928,1987,"Pittsburgh / The Factory, NY",CULTURAL ICON,HOMOSEXUAL,SURVEIL · CATALOGUE · DISMISS,99.98,98.7,AW-1928-0601,Fifteen minutes of fame
KEITH HARING,Produces high volumes of publicly legible imagery | Demonstrates compulsion toward repetition and pattern | Distributes work outside sanctioned institutional channels | Associates symbolic figures with collective movement | Engagement with public space exceeds permitted parameters | Motivations cannot be independently verified,1958,1990,New York,CULTURAL ICON,HOMOSEXUAL,CONTAIN · WITHHOLD CARE,99.94,97.9,KH-1958-0504,—
HARVEY MILK,Seeks access to civic and representative structures | Demonstrates capacity to organise dispersed populations | Communicates persuasively across demographic boundaries | Encourages assembly and collective visibility | Influence extends beyond assigned jurisdiction | Intentions cannot be independently verified,1930,1978,San Francisco,PUBLIC FIGURE,HOMOSEXUAL,REMOVE FROM OFFICE,99.89,98.2,HM-1930-0522,Hope will never be silent
ALAN TURING,Exhibits exceptional pattern-recognition capability | Constructs systems that replicate human reasoning | Operates extensively within classified environments | Demonstrates indifference to social convention | Cognitive processes exceed model interpretability | Loyalty cannot be independently verified,1912,1954,Bletchley Park,NATIONAL ASSET,HOMOSEXUAL,CHEMICAL TREATMENT · 1952,99.97,99.1,AT-1912-0623,Royal Pardon · 2013
MARLENE DIETRICH,Presents in tailored masculine attire without authorisation | Maintains deliberately ambiguous self-presentation | Generates desire across multiple demographic categories at once | Performs identity as a constructed surface | Resists assignment to any single classification | Sincerity cannot be independently verified,1901,1992,Berlin,CULTURAL ICON,HOMOSEXUAL,CONFISCATE TROUSERS · 1933,99.41,98.0,MD-1901-1227,Falling in Love Again
STEPHEN SONDHEIM,Demonstrates compulsive engagement with musical theatre | Structures emotion into elaborate formal systems | Exhibits preference for ambiguity and unresolved cadence | Communicates primarily through orchestrated subtext | Operates within insular cultural mentorship networks | Intentions cannot be independently verified,1930,2021,New York,CULTURAL ASSET,HOMOSEXUAL,REFER TO LIGHT ENTERTAINMENT,99.72,99.0,SS-1930-0322,Into the Woods · Art isn't easy
AUDRE LORDE,Refuses to remain silent when silence is expected | Identifies across multiple categories simultaneously | Converts personal experience into collective instruction | Organises language as an instrument of resistance | Declines to separate the self into manageable parts | Compliance cannot be independently verified,1934,1992,New York,SUBJECT OF INTEREST,HOMOSEXUAL,SILENCE · REDACT · ARCHIVE,99.93,99.3,AL-1934-0218,Your silence will not protect you
DIVINE,Exceeds permitted parameters of glamour | Performs femininity at non-regulation amplitude | Refuses distinction between beauty and provocation | Commands attention through deliberate excess | Operates outside sanctioned taste structures | Underlying identity cannot be independently verified,1945,1988,Baltimore,CULTURAL ICON,HOMOSEXUAL,REFUSE SERVICE · 1972,99.84,97.6,DV-1945-1019,The Filthiest Person Alive
ERNIE,Cohabits long-term with a single male associate | Displays cheerful indifference to social expectation | Demonstrates fixation on a rubber bathtime object | Shares one bedroom across all observed records | Felt-based composition complicates biometric analysis | Pulse cannot be independently verified,1969 (debut),—,123 Sesame Street,DOMESTIC COHABITANT,HOMOSEXUAL,SEPARATE FROM BERT,99.61,96.4,SS-1969-1123,"Rubber Duckie, You're the One"
DR. FRANK-N-FURTER,Self-describes as a sweet transvestite | Declares non-terrestrial point of origin | Exhibits theatrical command of any room entered | Refuses every assigned binary | Constructs companions to personal specification | Species cannot be independently verified,1975 (debut),—,Transylvania (Transsexual),VISITING DIGNITARY,HOMOSEXUAL,DEPORT · SECTOR TRANSYLVANIA,98.92,99.9,RH-1975-0814,"Don't dream it, be it"
